Nome da Liga,Link SofaScore,SofaScore ID,País,Fonte
Netherlands - Eerste Divisie,https://www.sofascore.com/pt/football/tournament/netherlands/eerste-divisie/???,?,Netherlands,football-data.org (id=2005)
Netherlands - Johan Cruijff Schaal,https://www.sofascore.com/pt/football/tournament/netherlands/johan-cruijff-schaal/???,?,Netherlands,football-data.org (id=2110)
Northern Ireland - League Cup,https://www.sofascore.com/pt/football/tournament/northern-ireland/league-cup/???,?,Northern Ireland,football-data.org (id=2108)
Northern Ireland - Premiership,https://www.sofascore.com/pt/football/tournament/northern-ireland/premiership/???,?,Northern Ireland,football-data.org (id=2107)
Panama - Liga Panameña de Fútbol,https://www.sofascore.com/pt/football/tournament/panama/liga-panameña-de-fútbol/???,?,Panama,football-data.org (id=2102)
Poland - Exstraklasa,https://www.sofascore.com/pt/football/tournament/poland/exstraklasa/???,?,Poland,football-data.org (id=2190)
Poland - Division 1,https://www.sofascore.com/pt/football/tournament/poland/division-1/???,?,Poland,football-data.org (id=2191)
Poland - Superpuchar Polski,https://www.sofascore.com/pt/football/tournament/poland/superpuchar-polski/???,?,Poland,football-data.org (id=2099)
Poland - Puchar Polski,https://www.sofascore.com/pt/football/tournament/poland/puchar-polski/???,?,Poland,football-data.org (id=2100)
Portugal - Taça de Portugal,https://www.sofascore.com/pt/football/tournament/portugal/taça-de-portugal/???,?,Portugal,football-data.org (id=2098)
Portugal - Supertaça Cândido de Oliveira,https://www.sofascore.com/pt/football/tournament/portugal/supertaça-cândido-de-oliveira/???,?,Portugal,football-data.org (id=2097)
Portugal - Taça da Liga,https://www.sofascore.com/pt/football/tournament/portugal/taça-da-liga/???,?,Portugal,football-data.org (id=2177)
Romania - Liga II,https://www.sofascore.com/pt/football/tournament/romania/liga-ii/???,?,Romania,football-data.org (id=2092)
Romania - Liga I,https://www.sofascore.com/pt/football/tournament/romania/liga-i/???,?,Romania,football-data.org (id=2094)
Romania - Supercupa României,https://www.sofascore.com/pt/football/tournament/romania/supercupa-româniei/???,?,Romania,football-data.org (id=2093)
Russia - Russian Cup,https://www.sofascore.com/pt/football/tournament/russia/russian-cup/???,?,Russia,football-data.org (id=2089)
Russia - FNL,https://www.sofascore.com/pt/football/tournament/russia/fnl/???,?,Russia,football-data.org (id=2088)
Russia - RFPL,https://www.sofascore.com/pt/football/tournament/russia/rfpl/???,?,Russia,football-data.org (id=2137)
Russia - Russian Super Cup,https://www.sofascore.com/pt/football/tournament/russia/russian-super-cup/???,?,Russia,football-data.org (id=2091)
Scotland - Scottish Cup,https://www.sofascore.com/pt/football/tournament/scotland/scottish-cup/???,?,Scotland,football-data.org (id=2087)
Scotland - Championship,https://www.sofascore.com/pt/football/tournament/scotland/championship/???,?,Scotland,football-data.org (id=2085)
Scotland - Playoffs 2/3,https://www.sofascore.com/pt/football/tournament/scotland/playoffs-2/3/???,?,Scotland,football-data.org (id=2086)
Slovenia - PrvaLiga,https://www.sofascore.com/pt/football/tournament/slovenia/prvaliga/???,?,Slovenia,football-data.org (id=2173)
South Africa - ABSA Premiership,https://www.sofascore.com/pt/football/tournament/south-africa/absa-premiership/???,?,South Africa,football-data.org (id=2083)
Spain - Copa del Rey,https://www.sofascore.com/pt/football/tournament/spain/copa-del-rey/???,?,Spain,football-data.org (id=2079)
Spain - Supercopa de España,https://www.sofascore.com/pt/football/tournament/spain/supercopa-de-españa/???,?,Spain,football-data.org (id=2078)
Sweden - Superettan,https://www.sofascore.com/pt/football/tournament/sweden/superettan/???,?,Sweden,football-data.org (id=2074)
Sweden - Svenska Supercupen,https://www.sofascore.com/pt/football/tournament/sweden/svenska-supercupen/???,?,Sweden,football-data.org (id=2151)
Switzerland - Schweizer Pokal,https://www.sofascore.com/pt/football/tournament/switzerland/schweizer-pokal/???,?,Switzerland,football-data.org (id=2071)
Turkey - 1. Lig,https://www.sofascore.com/pt/football/tournament/turkey/1.-lig/???,?,Turkey,football-data.org (id=2068)
Turkey - TFF Süper Kupa,https://www.sofascore.com/pt/football/tournament/turkey/tff-süper-kupa/???,?,Turkey,football-data.org (id=2069)
Ukraine - Kubok Ukrainy,https://www.sofascore.com/pt/football/tournament/ukraine/kubok-ukrainy/???,?,Ukraine,football-data.org (id=2065)
Ukraine - Premier Liha,https://www.sofascore.com/pt/football/tournament/ukraine/premier-liha/???,?,Ukraine,football-data.org (id=2064)
Ukraine - Superkubok Ukrainy,https://www.sofascore.com/pt/football/tournament/ukraine/superkubok-ukrainy/???,?,Ukraine,football-data.org (id=2067)
United States - MLS - Playoffs,https://www.sofascore.com/pt/football/tournament/united-states/mls---playoffs/???,?,United States,football-data.org (id=2175)
Uruguay - Supercopa Uruguay,https://www.sofascore.com/pt/football/tournament/uruguay/supercopa-uruguay/???,?,Uruguay,football-data.org (id=2148)
Venezuela - Primera División,https://www.sofascore.com/pt/football/tournament/venezuela/primera-división/???,?,Venezuela,football-data.org (id=2062)
Vietnam - V-League,https://www.sofascore.com/pt/football/tournament/vietnam/v-league/???,?,Vietnam,football-data.org (id=2061)
Wales - Welsh Premier League,https://www.sofascore.com/pt/football/tournament/wales/welsh-premier-league/???,?,Wales,football-data.org (id=2060)
World - FIFA Club World Cup,https://www.sofascore.com/pt/football/tournament/world/fifa-club-world-cup/???,?,World,football-data.org (id=2178)
World - FIFA World Cup,https://www.sofascore.com/pt/football/tournament/world/fifa-world-cup/???,?,World,football-data.org (id=2000)
World - Summer Olympics,https://www.sofascore.com/pt/football/tournament/world/summer-olympics/???,?,World,football-data.org (id=2153)
